VMs,Algorithm,Total Power,Active PMs,Reliability,Test RMSE,Exec. time (ms),Objective
50,Random,2010.2094543785288,28,0.9999994752778953,0.122164086,1.6720294952392578,
50,Reliable_Current,957.6037821975871,16,0.9999995429783305,0.122164086,1.0879039764404297,
50,Predictive,476.9807434082031,8,0.9999997277101873,0.122164086,32.46426582336426,
50,GA_MultiObjective,893.0680541992188,15,0.9999996562052315,0.122164086,1907.5918197631836,0.6021345600733431
100,Random,3571.755569002797,53,0.9999991762446088,0.122164086,1.1298656463623047,
100,Reliable_Current,1798.0341701988916,30,0.9999995372598175,0.122164086,0.08296966552734375,
100,Predictive,895.399658203125,15,0.9999997244027415,0.122164086,48.82001876831055,
100,GA_MultiObjective,2497.12353515625,41,0.9999995905285228,0.122164086,3856.882333755493,0.6389981148423081
200,Random,7388.03069988102,108,0.9999995257417811,0.122164086,4.255056381225586,
200,Reliable_Current,3595.6095989566347,60,0.99999948487749,0.122164086,0.21505355834960938,
200,Predictive,1790.616943359375,30,0.9999996937548993,0.122164086,120.13483047485352,
200,GA_MultiObjective,6553.38037109375,98,0.9999994042101373,0.122164086,7752.015113830566,0.6655652717604175
400,Random,14766.971790723554,219,0.9999991757030401,0.122164086,17.540693283081055,
400,Reliable_Current,7078.931933485492,118,0.9999994767284262,0.122164086,0.5469322204589844,
400,Predictive,3524.69580078125,59,0.9999996891950221,0.122164086,227.3859977722168,
400,GA_MultiObjective,13122.255859375,200,0.9999992718318991,0.122164086,35036.19885444641,8500.669110688134
600,Random,22623.623205100695,327,0.9999991752304881,0.122164086,41.00203514099121,
600,Reliable_Current,10793.720586892727,180,0.999999504641202,0.122164086,1.2471675872802734,
600,Predictive,5374.71142578125,90,0.9999997055604363,0.122164086,385.63013076782227,
600,GA_MultiObjective,19556.302734375,283,0.9999985133208422,0.122164086,42078.70388031006,34000.65980767157
800,Random,28023.211892657553,420,0.9999993175755819,0.122164086,71.60496711730957,
800,Reliable_Current,14395.709892402998,240,0.9999994780251481,0.122164086,1.8548965454101562,
800,Predictive,7167.9892578125,120,0.9999996897676233,0.122164086,439.8798942565918,
800,GA_MultiObjective,25943.759765625,394,0.9999987267707882,0.122164086,80132.84373283386,53000.66667751064
1000,Random,35969.94346328203,525,0.9999991423627742,0.122164086,115.14019966125488,
1000,Reliable_Current,17763.192383436577,296,0.9999994448413269,0.122164086,3.1909942626953125,
1000,Predictive,8844.1005859375,148,0.9999996700212761,0.122164086,564.0718936920166,
1000,GA_MultiObjective,33911.49609375,500,0.999998227691801,0.122164086,134783.27083587646,88000.66968335907
1200,Random,43452.88369495021,627,0.9999990828316345,0.122164086,169.72112655639648,
1200,Reliable_Current,21244.946462341057,354,0.9999994255429201,0.122164086,3.9157867431640625,
1200,Predictive,10577.5087890625,177,0.9999996586288986,0.122164086,769.7358131408691,
1200,GA_MultiObjective,41198.01953125,602,0.999998583628425,0.122164086,244941.49804115295,99000.6701536008
1600,Random,57970.75542970156,843,0.9999992826208054,0.122164086,301.9440174102783,
1600,Reliable_Current,28672.72080860775,478,0.9999994621218059,0.122164086,7.198095321655273,
1600,Predictive,14276.775390625,239,0.9999996803484524,0.122164086,986.7637157440186,
1600,GA_MultiObjective,53615.12109375,793,0.9999984878056891,0.122164086,319052.6568889618,162000.66795571792
