VMs,Algorithm,Total Power,Active PMs,Reliability,Test RMSE,Exec. time (ms),Objective
50,Random,1878.5572588505825,26,0.9999990807826565,0.08875463,0.2834796905517578,
50,Reliable_Current,958.9800065210302,16,0.9999995519826917,0.08875463,0.03647804260253906,
50,Predictive,477.5491943359375,8,0.9999997339641512,0.08875463,2.107858657836914,
50,GA_MultiObjective,877.3495483398438,15,0.9999997874198245,0.08875463,1736.8814945220947,0.6022932287509435
100,Random,3460.0574251940575,52,0.9999993097890167,0.08875463,0.9644031524658203,
100,Reliable_Current,1917.0211933485493,32,0.9999996173278378,0.08875463,0.08606910705566406,
100,Predictive,954.7211303710938,16,0.9999997717404867,0.08875463,4.031896591186523,
100,GA_MultiObjective,2983.884521484375,46,0.9999993317650201,0.08875463,3489.3860816955566,0.655788982759612
200,Random,7501.1997021776815,108,0.9999994276376135,0.08875463,3.8650035858154297,
200,Reliable_Current,3717.8504858167576,62,0.9999995801710735,0.08875463,0.2434253692626953,
200,Predictive,1851.2738037109375,31,0.9999997498867544,0.08875463,8.621931076049805,
200,GA_MultiObjective,6576.1845703125,97,0.9999991069471704,0.08875463,7152.32253074646,3000.664285726699
400,Random,14104.574413693577,212,0.9999994285556301,0.08875463,14.654874801635742,
400,Reliable_Current,7316.94865340724,122,0.9999995837736553,0.08875463,0.8189678192138672,
400,Predictive,3643.345458984375,61,0.9999997518696204,0.08875463,16.643762588500977,
400,GA_MultiObjective,13224.423828125,200,0.9999991179035115,0.08875463,13273.817777633667,14500.669076964346
600,Random,20811.51876959885,311,0.9999991737203016,0.08875463,35.692691802978516,
600,Reliable_Current,10800.281656341704,180,0.9999995684001972,0.08875463,1.4293193817138672,
600,Predictive,5377.44580078125,90,0.9999997426971935,0.08875463,25.649309158325195,
600,GA_MultiObjective,18719.625,287,0.9999990372739098,0.08875463,19971.309423446655,31000.661854264556
800,Random,29166.029048687502,422,0.9999991321167979,0.08875463,56.40602111816406,
800,Reliable_Current,14834.256256928602,254,0.9999995718900443,0.08875463,2.672433853149414,
800,Predictive,7386.6640625,127,0.9999997438124608,0.08875463,34.04593467712402,
800,GA_MultiObjective,26182.126953125,384,0.9999983386088811,0.08875463,27360.00370979309,74000.66287425988
1000,Random,36565.31549685676,535,0.999999376441749,0.08875463,88.7899398803711,
1000,Reliable_Current,18347.57644603847,306,0.9999996057982705,0.08875463,3.553628921508789,
1000,Predictive,9136.24609375,153,0.9999997650077093,0.08875463,40.83561897277832,
1000,GA_MultiObjective,33651.484375,503,0.9999989129074397,0.08875463,36400.40636062622,84500.6704504031
1200,Random,43182.212013368095,636,0.9999992333253152,0.08875463,130.91397285461426,
1200,Reliable_Current,21828.14633192044,364,0.9999995810300182,0.08875463,5.366086959838867,
1200,Predictive,10869.1884765625,182,0.9999997501922816,0.08875463,57.657480239868164,
1200,GA_MultiObjective,40256.76953125,602,0.9999985613913404,0.08875463,44219.99192237854,115500.67015627376
1600,Random,56437.576840203306,838,0.9999993092356159,0.08875463,229.57992553710938,
1600,Reliable_Current,28790.662328007827,480,0.9999995701107284,0.08875463,9.229660034179688,
1600,Predictive,14335.72265625,240,0.9999997435656991,0.08875463,78.52411270141602,
1600,GA_MultiObjective,53105.95703125,795,0.9999985201362136,0.08875463,60804.62646484375,159000.6683788476
